# id6|magazin|total|livrare|servicii|vreme|comanda_min|discount|produse|bacsis|card
829029|Pep & Pepper|246.00|3.99|9.99||||210.93|21.09|GPay
665607|Tudi's - Tudor Arghezi|373.38|6.99|9.99||||324.00|32.40|GPay
596978|18CTEA - The Bubble Tea Expert|259.38|2.99|9.99||||224.00|22.40|GPay
608771|La Placinte|557.33|9.99|9.99||||488.50|48.85|GPay
831498|Boutique Du Pain|127.50|6.99|7.21||||103.00|10.30|GPay
287149|Trattoria IL CALCIO|391.38|2.99|9.99||||342.60|35.80|GPay
916176|Boutique Du Pain|122.82|6.99|6.93||||99.00|9.90|GPay
358733|Gelateria La Romana dal 1947|234.57|2.99|9.99|5.99|||196.00|19.60|GPay
738179|Carturesti|175.50|4.99|11.56||||144.50|14.45|GPay
735837|Boutique Du Pain|122.82|6.99|6.93||||99.00|9.90|GPay
126988|La Placinte|296.14|9.99|9.99||||250.40|25.76|GPay
972522|Pep & Pepper|152.07|3.99|8.79||||125.55|13.74|GPay
927904|TRICKSHOT|317.88|4.99|9.99||||273.00|29.90|GPay
681319|Scovergăria Micăi|312.13|9.99|13.99|||-84.75|339.00|33.90|8205
129230|Pep & Pepper|174.47|3.99|9.99|||-25.34|168.94|16.89|8205
734287|Boutique Du Pain|176.48|6.99|9.99||||145.00|14.50|8205
231359|Tudi's - Tudor Arghezi|247.98|6.99|9.99||||210.00|21.00|8205
015459|Trenta Pizza|138.11|1.99|||||123.75|12.37|8205
014930|Boutique Du Pain|211.68|6.99|9.99||||177.00|17.70|8205
074379|Pep & Pepper|198.72|3.99|9.99||||167.95|16.79|8205
560794|La Placinte|243.73|9.99|9.99||||202.10|21.65|8205
550169|Pep & Pepper|119.61|4.99|6.86||||97.97|9.79|8205
548217|Tudi's - Tudor Arghezi|171.79|7.99|9.80||||140.00|14.00|8205
664568|Pep & Pepper|88.61|4.99|5.00||||71.48|7.14|8205
413872|Auchan Supermarket|363.57|14.99|9.99||||307.97|30.62|8205
411733|La Placinte|408.83|9.99|9.99||||353.50|35.35|8205
410766|Sushi Terra|93.57|6.99|5.18||||74.00|7.40|8205
688280|Carturesti|81.62|4.99|3.65||5.99||60.90|6.09|8205
038688|Zoomserie|146.94|17.99|6.36|5.99|||106.00|10.60|8205
708504|La Placinte|331.77|12.74|9.99|5.99|||275.50|27.55|8205
707000|TRICKSHOT|164.17|8.99|9.99|5.99||-52.20|174.00|17.40|8205
367141|Pizzeria Volare|158.57|3.99|8.89|5.99|||127.00|12.70|8205
254559|La Placinte|189.78|9.99|9.99||||153.60|16.20|8205
236448|Yasser|174.98|9.99|9.99||||155.00||8205
773550|Trattoria IL CALCIO|219.38|2.99|9.99|||-77.40|258.00|25.80|8205
067972|La Placinte|507.77|9.99|9.99|5.99|||438.00|43.80|8205
616987|Restaurant Provence|229.58|14.99|9.99||||186.00|18.60|8205
956092|Pep & Pepper|276.95|4.99|9.99||||235.63|26.34|8205
507746|Trattoria Adagio|147.13|11.99|8.09||||115.50|11.55|8205
427432|Fabrica de Tocanite|183.58|3.99|9.99|||-63.60|212.00|21.20|8205
918937|Nikos Greek Taverna|135.82|0.99|9.73|||-27.80|139.00|13.90|8205
622193|Pep & Pepper|198.87|4.99|9.99||||164.05|19.84|8205
552300|Boutique Du Pain|124.99|7.99|7.00||||100.00|10.00|8205
232892|Azzurro|298.23|19.99|9.99||||242.95|25.30|8205
844965|Pep & Pepper|230.51|4.99|9.99||||195.94|19.59|8205
837881|Berezka|167.16|2.99|8.41||||140.21|15.55|8205
720573|Pep & Pepper|220.56|4.99|9.99|5.99|||181.45|18.14|8205
522674|La Placinte|386.72|9.99|9.99||||333.40|33.34|8205
950853|Nikos Greek Taverna|168.34|0.99|9.46|5.99|||135.20|16.70|8205
618882|Pep & Pepper|150.60|4.99|8.71||||124.46|12.44|8205
178380|Tudi's - Tudor Arghezi|250.57|7.99|9.99|5.99|||206.00|20.60|8205
450143|Pep & Pepper|205.42|4.99|9.99||||172.05|18.39|8205
144052|Restaurant Dristor|233.09|0.99|||||211.00|21.10|8205
102829|Sabatini Pizza & Restaurant|248.00|10.00|||||238.00||8205
548511|Lake House|140.99|4.99|||||136.00||8205
837531|Pizza Hut|203.65|6.99|9.99||||169.70|16.97|8205
853430|Lake House|140.99|4.99|||||136.00||8205
955077|18CTEA - The Bubble Tea Expert|77.87|2.99|4.48||||64.00|6.40|8205
609654|Boutique Du Pain|102.76|7.99|5.67||||81.00|8.10|8205
963919|Pep & Pepper|238.41|4.99|9.99||||202.64|20.79|8205
